danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.735,0.502,0,-4.183,1,0.0696,0.383,0,0.0898,0.465,105.186,117714,52
0.497,0.587,5,-6.097,1,0.034,0.475,0,0.172,0.391,150.104,169574,61
0.838,0.56,2,-7.673,1,0.0415,0.196,0,0.192,0.949,130.987,149456,39
0.694,0.494,5,-7.379,1,0.172,0.487,0,0.119,0.332,77.048,236871,47
0.839,0.59,6,-4.76,0,0.137,0.0441,0,0.233,0.387,86.473,133883,51
0.643,0.458,6,-8.636,1,0.0875,0.809,0.00015,0.237,0.506,164.16,159608,65
0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,228347,79
0.84,0.608,6,-6.176,1,0.0458,0.248,1.25E-06,0.0874,0.727,115.012,231320,63
0.673,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.744,201287,79
0.802,0.768,2,-6.545,0,0.0904,0.111,0.000296,0.27,0.818,154.992,158996,32
0.801,0.456,7,-12.016,1,0.414,0.0114,0,0.183,0.5,136.961,201596,40
0.617,0.756,3,-5.811,1,0.104,0.213,0,0.152,0.432,121.828,168197,63
0.668,0.799,0,-6.168,0,0.0894,0.0607,5.26E-06,0.108,0.393,159.9,80062,7
0.783,0.729,6,-6.398,0,0.204,0.0884,0,0.237,0.233,124.103,212560,57
0.762,0.643,0,-5.976,1,0.0321,0.0632,0,0.355,0.705,110.009,140824,58
0.628,0.694,8,-4.271,1,0.202,0.0426,0,0.179,0.605,180.067,141555,14
0.572,0.538,7,-8.766,1,0.153,0.205,0,0.505,0.523,183.437,115702,45
0.499,0.654,6,-6.782,1,0.11,0.0734,0.000144,0.104,0.0464,169.839,298520,42
0.711,0.549,4,-6.951,1,0.049,0.215,0,0.0824,0.443,130.045,179077,56
0.491,0.754,6,-5.945,1,0.0572,0.138,0,0.32,0.541,164.948,139499,52
0.618,0.364,0,-8.819,1,0.0286,0.796,0,0.117,0.355,121.855,179187,34
0.514,0.7,9,-8.478,0,0.0591,0.17,5.95E-05,0.164,0.305,85.021,233900,42
0.734,0.466,11,-8.775,1,0.0425,0.0136,0,0.0811,0.731,123.889,236291,49
0.454,0.837,8,-4.395,1,0.0734,0.000532,5.04E-05,0.375,0.557,164.966,118733,57
0.354,0.339,7,-9.316,0,0.0406,0.761,0.000162,0.389,0.204,180.062,200000,21
0.693,0.762,9,-6.357,1,0.0368,0.00477,0.000139,0.0769,0.389,119.978,212191,41
